TMLOOKUP;Fullname;First Name;Second Name;Nationality;National games;National Goals;Club;Date Joined;Contract Ends;Day of Birth;Month of Birth;Year of Birth;Age;Goalkeeper;Sweeper;Defender;Anchor;Midfield;Support;Attack;Right;Left;Centre;Ability;Potential;Reputation;Adaptability;Aggression;Big Occasion;Character;Consistency;Creativity;Determination;Dirtyness;Dribbling;Flair;Heading;Influence;Inj Prone;Marking;Off The Ball;Pace;Passing;Positioning;Set Pieces;Shooting;Stamina;Strenght;Tackling;Technique;Goalkeeper POS;Sweeper POS;Defender POS;Anchor POS;Midfield POS;Support POS;Attack POS;Right POS;Left POS;Centre POS
Aab6;S?ren Frederiksen AaB;S?ren;Frederiksen;Denmark;0;0;Aab;;;21;1;1972;;0;0;0;0;0;0;2;2;0;2;118;135;0;7;9;6;7;12;12;15;8;13;13;11;6;0;8;8;17;11;10;9;14;13;9;9;10;0;0;0;0;0;0;2;2;0;2
Aab7;Allan Gaarde AaB;Allan;Gaarde;Denmark;0;0;Aab;07-01-1900;;25;1;1975;;0;0;2;1;2;1;2;0;0;2;85;125;0;14;10;12;8;14;8;13;10;9;10;12;15;0;13;9;12;11;10;12;12;10;10;8;11;0;0;2;0;2;0;2;0;0;2
AaB8;Jesper Gr?nkjër AaB;Jesper;Gr?nkjër;Denmark;0;0;AaB;;;12;8;1977;;0;0;0;0;0;1;2;2;2;2;129;-1;130;15;12;16;18;19;16;13;10;16;17;19;14;0;9;13;17;14;20;12;11;12;14;8;15;0;0;0;0;0;0;2;2;2;2
AaB9;Steffen H?jer AaB;Steffen;H?jer;Denmark;1;0;AaB;;;22;5;1973;;0;0;0;0;0;1;2;2;0;2;124;144;110;11;12;14;10;15;14;9;6;12;10;13;10;5;9;13;0;12;11;10;15;16;14;10;12;0;0;0;0;0;0;2;2;0;2
Aachen1;Henry Heeren Aachen;Henry;Heeren;Netherlands;0;0;Aachen;;;25;10;1974;21;0;0;0;0;2;0;0;0;2;0;109;112;81;12;3;3;17;9;3;0;12;3;2;13;7;9;5;6;0;9;14;3;0;8;17;13;2;0;0;0;0;2;0;0;0;2;0
Aalb. Chang1;Martin Andersen Aalborg Chang;Martin;Andersen;Denmark;0;0;Aalb. Chang;;;31;3;1973;;0;0;0;0;2;0;0;0;0;2;81;112;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2
Aalb. Chang10;Kenneth Hofmann Aalborg Chang;Kenneth;Hofmann;Denmark;0;0;Aalb. Chang;;;30;10;1974;;0;0;0;0;2;2;0;0;2;2;92;99;0;10;11;10;10;14;7;8;9;8;9;10;12;0;12;9;17;8;8;9;10;11;10;13;9;0;0;0;0;2;2;0;0;2;2
Aalb. Chang11;Peter Hove Aalborg Chang;Peter;Hove;Denmark;0;0;Aalb. Chang;;;10;6;1976;;0;0;0;0;0;2;2;2;2;2;98;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2
Aalb. Chang12;Michael Larsen Aalborg Chang;Michael;Larsen;Denmark;0;0;Aalb. Chang;;;3;2;1975;;0;0;0;0;2;2;0;2;0;2;87;117;0;9;10;13;9;12;9;11;10;12;9;9;10;0;9;8;0;8;9;11;9;11;10;10;10;0;0;0;0;2;2;0;2;0;2
Aalb. Chang13;Claus Ottosen Aalborg Chang;Claus;Ottosen;Denmark;0;0;Aalb. Chang;;;23;2;1967;;2;0;0;0;0;0;0;0;0;2;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Aalb. Chang14;Kim Sand Aalborg Chang;Kim;Sand;Denmark;0;0;Aalb. Chang;;;28;2;1972;;0;0;0;0;2;2;0;2;2;2;86;98;0;8;10;13;10;4;7;12;10;10;9;8;9;0;10;8;14;8;8;8;10;9;10;11;9;0;0;0;0;2;2;0;2;2;2
Aalb. Chang15;Jesper Schau Aalborg Chang;Jesper;Schau;Denmark;0;0;Aalb. Chang;;;10;5;1969;;0;0;0;2;2;0;0;0;2;2;100;115;0;12;12;11;12;16;10;13;14;13;13;12;12;0;13;12;0;15;11;15;9;12;11;12;12;0;0;0;2;2;0;0;0;2;2
Aalb. Chang16;Christian Skafte Aalborg Chang;Christian;Skafte;Denmark;0;0;Aalb. Chang;;;18;9;1975;;0;0;0;0;2;2;0;0;2;2;94;105;0;10;11;10;10;14;7;8;9;8;9;10;12;0;12;9;6;8;8;9;10;11;10;13;9;0;0;0;0;2;2;0;0;2;2
Aalb. Chang17;Kasper Svendsen Aalborg Chang;Kasper;Svendsen;Denmark;0;0;Aalb. Chang;;;23;10;1977;;0;0;2;0;0;0;0;0;1;2;92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;2
Aalb. Chang18;Lars S?lvkjër Aalborg Chang;Lars;S?lvkjër;Denmark;0;0;Aalb. Chang;;;10;10;1970;;0;0;2;0;0;0;0;0;2;2;91;121;0;8;8;9;8;8;11;8;9;8;8;9;11;0;9;11;6;9;8;7;8;9;10;9;8;0;0;2;0;0;0;0;0;2;2
Aalb. Chang19;Kim Tengstedt Aalborg Chang;Kim;Tengstedt;Denmark;0;0;Aalb. Chang;;;21;2;1968;;0;0;0;0;0;0;2;0;0;2;83;114;0;8;10;8;7;14;8;9;8;8;13;7;8;0;9;8;3;9;8;7;14;8;7;6;8;0;0;0;0;0;0;2;0;0;2
Aalb. Chang2;Michael Andersen Aalborg Chang;Michael;Andersen;Denmark;0;0;Aalb. Chang;;;22;6;1973;;0;1;2;0;0;0;0;1;1;1;89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0
Aalb. Chang20;Renä Tengstedt Aalborg Chang;Renä;Tengstedt;Denmark;0;0;Aalb. Chang;;;1;1;#VALUE!;21;0;0;0;0;0;0;2;0;0;2;95;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
Aalb. Chang21;Thomas Tengstedt Aalborg Chang;Thomas;Tengstedt;Denmark;0;0;Aalb. Chang;;;15;5;1975;;0;0;0;2;2;0;0;2;1;2;103;127;0;18;10;15;15;16;8;16;13;10;10;13;17;0;14;12;5;8;15;10;8;8;8;14;14;0;0;0;2;2;0;0;2;0;2
Aalb. Chang22;Claus Vestergaard Aalborg Chang;Claus;Vestergaard;Denmark;0;0;Aalb. Chang;;;20;5;1974;;0;0;0;0;0;0;2;0;0;2;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2
Aalb. Chang23;Jens Zimmer Aalborg Chang;Jens;Zimmer;Denmark;0;0;Aalb. Chang;;;8;7;1968;;0;0;0;0;0;0;2;0;0;2;87;109;0;9;9;8;6;6;11;9;8;8;9;7;8;0;8;9;5;9;7;8;9;9;9;8;9;0;0;0;0;0;0;2;0;0;2
Aalb. Chang3;Torben Andersen Aalborg Chang;Torben;Andersen;Denmark;0;0;Aalb. Chang;;;30;11;1977;;0;0;2;0;0;0;0;2;0;0;94;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;2;0;0
Aalb. Chang4;Ken Christensen Aalborg Chang;Ken;Christensen;Denmark;0;0;Aalb. Chang;;;26;7;1966;;0;0;0;0;2;2;0;2;2;2;93;105;0;10;10;9;8;10;8;13;10;8;9;10;12;0;8;8;0;9;8;9;11;9;7;8;9;0;0;0;0;2;2;0;2;2;2
Aalb. Chang5;Mikael Drejer Aalborg Chang;Mikael;Drejer;Denmark;0;0;Aalb. Chang;;;15;2;1974;;0;0;0;0;0;2;2;2;2;2;89;126;0;8;10;11;12;16;9;8;9;9;10;10;11;0;10;8;0;10;8;9;8;9;10;7;9;0;0;0;0;0;2;2;2;2;2
Aalb. Chang6;Henrik Fisher Aalborg Chang;Henrik;Fisher;Denmark;0;0;Aalb. Chang;;;28;6;1966;;0;0;2;0;0;0;0;2;2;2;93;97;0;11;10;13;10;12;12;10;14;12;10;10;13;0;12;10;17;10;13;10;8;8;9;10;10;0;0;2;0;0;0;0;2;2;2
Aalb. Chang7;Lasse Harbo Larsen Aalborg Chang;Lasse;Harbo Larsen;Denmark;0;0;Aalb. Chang;;;17;7;1974;;2;0;0;0;0;0;0;0;0;2;86;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2
Aalb. Chang8;Jacob Hermansen Aalborg Chang;Jacob;Hermansen;Denmark;0;0;Aalb. Chang;;;1;4;1976;;0;0;0;0;2;0;0;0;0;2;91;133;0;14;10;12;8;14;8;13;10;9;10;12;15;0;13;9;11;11;10;12;12;10;10;8;11;0;0;0;0;2;0;0;0;0;2
Aalb. Chang9;Jesper Hjort Aalborg Chang;Jesper;Hjort;Denmark;0;0;Aalb. Chang;;;8;11;1969;;0;0;2;0;0;0;0;2;2;2;96;121;0;10;10;14;15;8;8;13;10;12;13;10;13;0;8;7;10;9;10;12;7;8;9;8;11;0;0;2;0;0;0;0;2;2;2
Aalborg Chang1;Johnny H. Nielsen Aalborg Chang;Johnny H.;Nielsen;Denmark;0;0;Aalborg Chang;07-01-1900;;22;2;1976;;0;0;2;0;0;0;0;2;2;2;107;133;0;17;12;13;17;8;17;12;16;17;19;17;17;12;10;7;0;12;13;18;7;6;13;16;15;0;0;2;0;0;0;0;2;2;2
Aalesund1;Eirik Birkevold Aalesund;Eirik;Birkevold;Norway;0;0;Aalesund;;;24;10;1976;;0;0;0;0;0;0;2;0;0;2;102;99;0;13;8;11;14;8;8;15;2;16;10;7;8;1;14;15;0;14;13;10;15;3;12;7;17;0;0;0;0;0;0;2;0;0;2
Aalesund10;Bj?rn-Tore Hansen Aalesund;Bj?rn-Tore;Hansen;Norway;0;0;Aalesund;;;6;6;1975;;0;0;0;0;0;0;2;0;0;2;87;107;0;11;11;15;15;7;16;13;12;12;13;12;7;9;12;10;0;11;15;14;14;9;12;8;11;0;0;0;0;0;0;2;0;0;2
Aalesund11;Glenn Hartmann Aalesund;Glenn;Hartmann;Norway;0;0;Aalesund;;;2;5;1973;;0;0;0;0;2;0;0;0;2;0;106;151;0;14;3;10;7;8;14;15;4;15;19;16;17;1;9;10;20;7;10;13;13;6;14;18;14;0;0;0;0;2;0;0;0;2;0
Aalesund12;Kristian Klausen Aalesund;Kristian;Klausen;Norway;0;0;Aalesund;;;19;2;1971;;0;0;0;0;0;0;2;0;2;2;76;122;0;11;2;12;10;15;17;14;1;15;9;11;17;6;11;12;0;14;12;13;13;19;14;9;13;0;0;0;0;0;0;2;0;2;2
Aalesund13;Frank Mathiesen Aalesund;Frank;Mathiesen;Norway;0;0;Aalesund;;;13;7;1969;;2;0;0;0;0;0;0;0;0;0;105;132;0;11;12;12;15;5;10;11;16;12;10;8;8;18;9;12;0;4;11;10;12;3;12;6;11;2;0;0;0;0;0;0;0;0;0
Aalesund14;Kai Birger Myrold Aalesund;Kai Birger;Myrold;Norway;0;0;Aalesund;10-01-1900;10-01-1900;4;4;1970;;0;0;0;0;2;0;0;0;0;2;80;80;50;8;8;10;5;12;12;10;1;12;5;1;8;12;10;15;15;15;12;10;1;10;10;12;12;0;0;0;0;2;0;0;0;0;2
Aalesund15;Trond Olsen Aalesund;Trond;Olsen;Norway;0;0;Aalesund;10-01-1900;10-01-1900;31;8;1976;;0;0;2;0;0;0;0;2;0;2;70;70;40;5;8;10;5;10;12;8;1;1;5;10;1;5;10;1;15;7;10;1;5;5;10;5;5;0;0;2;0;0;0;0;2;0;2
Aalesund16;Amund Skiri Aalesund;Amund;Skiri;Norway;0;0;Aalesund;;;25;2;1978;;0;0;2;0;0;0;0;2;0;2;87;165;0;10;7;12;6;12;11;15;4;5;6;12;8;3;15;13;0;10;14;11;14;10;15;10;13;0;0;2;0;0;0;0;2;0;2
Aalesund17;PÜl Stadsnes Aalesund;PÜl;Stadsnes;Norway;0;0;Aalesund;;;11;2;1973;;0;0;0;0;2;2;0;0;2;2;96;120;0;15;2;11;13;10;10;13;3;11;8;6;5;7;11;10;0;8;15;11;15;3;10;4;11;0;0;0;0;2;2;0;0;2;2
Aalesund18;Tom E. Str?mmen Aalesund;Tom E.;Str?mmen;Norway;0;0;Aalesund;10-01-1900;10-01-1900;5;1;1977;;2;0;0;0;0;0;0;0;0;0;70;70;50;5;5;2;12;15;4;8;15;3;14;18;20;10;5;5;10;15;10;1;1;5;5;12;1;2;0;0;0;0;0;0;0;0;0
Aalesund19;Brian Str?msholm Aalesund;Brian;Str?msholm;Norway;0;0;Aalesund;;;20;10;1972;;0;0;2;0;0;0;0;2;2;2;38;67;0;8;2;7;16;13;15;5;8;4;7;11;3;5;12;9;14;10;6;8;10;11;6;14;10;0;0;2;0;0;0;0;2;2;2
Aalesund2;Dag-Petter Breivik Aalesund;Dag-Petter;Breivik;Norway;0;0;Aalesund;;;31;5;1970;;0;0;0;0;2;0;0;2;0;2;114;137;0;11;6;10;9;12;13;13;4;10;8;10;15;5;11;11;8;11;11;13;13;12;14;8;10;0;0;0;0;2;0;0;2;0;2
Aalesund20;Kenneth Sunde Aalesund;Kenneth;Sunde;Norway;0;0;Aalesund;10-01-1900;10-01-1900;22;4;1976;;0;0;0;0;2;0;0;0;0;2;70;70;50;5;8;5;1;10;12;15;5;10;10;15;12;0;8;12;15;10;10;5;5;10;12;10;5;0;0;0;0;2;0;0;0;0;2
Aalesund21;Roy-Magne Sunde Aalesund;Roy-Magne;Sunde;Norway;0;0;Aalesund;;;21;7;1973;;0;0;2;0;0;0;0;2;2;2;43;88;0;6;6;8;10;11;5;9;3;6;19;7;12;5;9;7;17;9;10;10;5;7;10;17;10;0;0;2;0;0;0;0;2;2;2
Aalesund22;Johnny Vatt?y Aalesund;Johnny;Vatt?y;Norway;0;0;Aalesund;;;12;10;1971;;0;0;0;0;0;0;2;2;0;2;88;97;0;10;8;4;10;10;18;9;5;11;10;9;18;9;8;8;0;9;10;9;6;10;6;19;10;0;0;0;0;0;0;2;2;0;2
Aalesund23;Erling Ytterland Aalesund;Erling;Ytterland;Norway;0;0;Aalesund;;;13;12;1966;;0;0;0;0;2;2;0;0;0;2;91;122;0;13;7;14;10;10;9;10;6;12;3;15;15;10;10;14;0;7;10;14;15;17;11;18;12;0;0;0;0;2;2;0;0;0;2
Aalesund3;Christian Busët Aalesund;Christian;Busët;Norway;0;0;Aalesund;;;18;4;1973;;0;0;2;0;0;0;0;0;0;2;74;114;0;13;1;11;14;8;8;12;2;6;10;7;8;1;14;15;0;7;13;10;15;3;12;7;13;0;0;2;0;0;0;0;0;0;2
Aalesund4;Rune Dyb Aalesund;Rune;Dyb;Norway;0;0;Aalesund;10-01-1900;10-01-1900;6;9;1979;;2;0;0;0;0;0;0;0;0;0;50;50;20;5;5;1;3;3;0;0;0;0;3;0;6;8;5;0;5;9;6;0;2;5;1;12;5;2;0;0;0;0;0;0;0;0;0
Aalesund5;Herman Ekeberg Aalesund;Herman;Ekeberg;Norway;0;0;Aalesund;;;14;3;1972;;0;0;2;0;0;0;0;2;0;0;116;138;0;12;1;15;14;10;19;12;2;8;6;15;18;2;15;13;0;6;15;13;14;7;11;17;15;0;0;2;0;0;0;0;2;0;0
Aalesund6;Arnt Vidar Fiskerstrand Aalesund;Arnt Vidar;Fiskerstrand;Norway;0;0;Aalesund;;;19;2;1973;;0;0;0;0;2;2;0;0;0;2;80;116;0;12;8;12;7;17;11;10;7;14;10;8;18;7;8;11;0;12;12;15;14;12;14;9;10;0;0;0;0;2;2;0;0;0;2
Aalesund7;Trond Fredriksen Aalesund;Trond;Fredriksen;Norway;0;0;Aalesund;;;21;5;1977;;0;0;0;0;2;2;0;0;2;0;78;93;0;5;14;7;13;6;8;10;18;12;5;6;6;5;5;10;0;4;8;5;10;3;6;7;10;0;0;0;0;2;2;0;0;2;0
Aalesund8;Petter Hagen Aalesund;Petter;Hagen;Norway;0;0;Aalesund;;;8;9;1969;;0;0;2;0;0;0;0;2;2;0;79;125;0;5;10;5;15;8;9;5;9;4;5;10;2;9;13;6;0;8;6;10;6;10;10;11;9;0;0;2;0;0;0;0;2;2;0
Aalesund9;Jan Erik Halkjelsvik Aalesund;Jan Erik;Halkjelsvik;Norway;0;0;Aalesund;04-01-1900;04-01-1900;10;5;1967;;0;0;2;0;0;0;0;0;0;2;120;110;14;12;13;10;4;10;6;13;3;8;5;15;12;10;13;5;10;13;14;11;12;10;13;9;11;0;0;2;0;0;0;0;0;0;2
Aalst1;Philippe Vande Walle Aalst;Philippe;Vande Walle;Belgium;4;0;Aalst;12-01-1900;;22;12;1961;35;2;0;0;0;0;0;0;0;0;0;146;151;135;18;11;14;7;20;10;14;11;20;14;9;17;12;14;19;0;6;18;14;16;7;9;20;13;2;0;0;0;0;0;0;0;0;0
Aalst2;Florian Urban Aalst;Florian;Urban;Hungary;0;0;Aalst;09-01-1900;;29;7;1968;28;0;0;1;2;2;1;0;1;1;2;135;140;115;10;6;18;13;5;16;5;16;14;0;13;12;13;8;9;11;14;12;0;14;9;0;7;13;0;0;0;2;2;0;0;0;0;2
Aarau1;Ivo Georgiev Aarau;Ivo;Georgiev;Bulgaria;1;1;Aarau;;;12;5;1972;;0;0;0;0;0;0;2;0;0;2;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;18;0;0;0;0;0;0;0;0;0;0;2;0;0;2
Aarau10;Moritz Gnehm Aarau;Moritz;Gnehm;Switzerland;0;0;Aarau;;;1;4;1973;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aarau11;Marcel Heldmann Aarau;Marcel;Heldmann;Switzerland;0;0;Aarau;;;1;1;1969;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aarau12;Marc Hodel Aarau;Marc;Hodel;Switzerland;0;0;Aarau;;;1;11;1973;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aarau13;Bernd Kilian Aarau;Bernd;Kilian;Switzerland;0;0;Aarau;;;1;9;1975;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aarau14;Christof Oldani Aarau;Christof;Oldani;Switzerland;0;0;Aarau;;;1;8;1974;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aarau15;Frederic Page Aarau;Frederic;Page;Switzerland;0;0;Aarau;;;1;8;1967;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aarau16;Jeff Saibene Aarau;Jeff;Saibene;Switzerland;0;0;Aarau;;;1;8;1974;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aarau17;Remo Senn Aarau;Remo;Senn;Switzerland;0;0;Aarau;;;1;12;1971;;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Aarau18;Beat Studer Aarau;Beat;Studer;Switzerland;0;0;Aarau;;;1;   ;1976;;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
